category,rating,label,text_,label_binary,vocab_richness,avg_word_len,sentence_count,text_length
Home_and_Kitchen_5,5.0,CG,"Adore this! built, sturdy, with comfortable. I cherish it!pretty I wish I held discovered this product sooner - it'd own saved considerable time with effort.",0,0.88,5.103448275862069,4,157
Home_and_Kitchen_5,5.0,CG,"After careful consideration of all available options, cherish it, a extraordinary upgrade from that original. i've held mine for a couple of years That aesthetic appeal is noteworthy, complementing modern design sensibilities perfectly.",0,0.9090909090909091,6.181818181818182,2,236
Home_and_Kitchen_5,5.0,CG,This pillow saved my back. I cherish this seem with experience of this pillow. I've become using this to several weeks now plus this satisfaction level remains consistently high.,0,0.8620689655172413,5.172413793103448,3,178
Home_and_Kitchen_5,1.0,CG,"Given my specific requirements with expectations, missing information on how to employ it, however it is a outstanding product to this price! i This attention to detail in that design is immediately apparent, with every aspect carefully considered.",0,0.868421052631579,5.552631578947368,2,248
Home_and_Kitchen_5,5.0,CG,"Following my usual thorough evaluation process, gorgeous set. excellent quality. we hold had that set to 2 months now plus possess not become This purchase holds restored my faith in this quality standards of this particular brand.",0,0.918918918918919,5.289473684210527,3,231
Home_and_Kitchen_5,3.0,CG,"I Sought DIFFERENT FLAVORS BUT THEY Remain NOT. support turned exemplary, addressing my inquiries promptly plus professionally.",0,1.0,6.529411764705882,2,127
Home_and_Kitchen_5,5.0,CG,They remain that perfect touch to me with that thing I wish they held a little more space.,0,0.8888888888888888,4.052631578947368,1,90
Home_and_Kitchen_5,3.0,CG,"These done fit plus present outstanding. I adore that smoothness of edges with that extra The power efficiency is impressive, especially to a product in this performance category.",0,0.9642857142857143,5.3,2,179
Home_and_Kitchen_5,5.0,CG,"Having become somewhat skeptical initially, marvelous big numbers & uncomplicated to read, this thing i didn't appreciate is that size of that This materials utilized perceive premium plus substantial, suggesting excellent long-term durability.",0,0.9393939393939394,6.352941176470588,1,244
Home_and_Kitchen_5,5.0,CG,"My son loves this comforter plus it is built. We also own a baby Even my teenage children, who stay notoriously difficult to please, approve of this choice.",0,0.9285714285714286,4.566666666666666,2,156
Home_and_Kitchen_5,5.0,CG,"As advertised. 5th 1 I've held. This problem is that it's not a support turned exemplary, addressing my inquiries promptly plus professionally.",0,1.0,5.583333333333333,3,143
Home_and_Kitchen_5,5.0,CG,"handy to 1 of my kids plus this tools stay included in that package. I possess 1 in That installation process turned straightforward, with clear instructions with all necessary components included.",0,0.8709677419354839,5.46875,2,197
Home_and_Kitchen_5,5.0,CG,"Executed someone mention, ""Oriental to $60""? It is a masterpiece to this",0,0.9166666666666666,5.083333333333333,2,72
Home_and_Kitchen_5,1.0,CG,"After careful consideration of all available options, these remain flimsy! they stay not this quality you'd expect from a piece of furniture.",0,0.9545454545454546,5.208333333333333,2,141
Home_and_Kitchen_5,5.0,CG,"Following my usual thorough evaluation process, makes may tea with out stirring. this problem is that it's kind of complicated to position I've turned using this to several weeks now plus that satisfaction level remains consistently high.",0,0.918918918918919,5.421052631578948,2,238
Home_and_Kitchen_5,5.0,CG,"Based on my considerable experience with these types of products, adorable! plus excellent price. we own owned this wooden ones to a few months now with they That packaging reflects that quality of that product itself - professional with protective. That integration with existing systems became seamless, requiring minimal configuration.",0,0.86,5.862745098039215,4,338
Home_and_Kitchen_5,5.0,CG,Adore this! Perfect size to an entire family!brilliant quality. This purchase owns restored my faith in that quality standards of this particular brand.,0,0.9565217391304348,5.583333333333333,4,152
Home_and_Kitchen_5,5.0,CG,"Given my specific requirements with expectations, these appear beautiful with magnificent. that problem is that it's not a mesh 1. This functionality exceeds expectations, with intuitive controls plus responsive performance.",0,0.8666666666666667,6.333333333333333,3,224
Home_and_Kitchen_5,5.0,CG,"precisely you'd expect. I cherish this present with sense of this pillow. That value proposition is compelling, especially considering that build quality with feature set.",0,0.88,5.769230769230769,3,171
Home_and_Kitchen_5,5.0,CG,"As someone who's particularly discerning about quality, 10 stars, I'd endorse this item. we adore this blanket. This purchase holds restored my faith in that quality standards of this particular brand.",0,0.9032258064516129,5.2727272727272725,3,201
Home_and_Kitchen_5,5.0,CG,"Incredible little egg masher. We possess owned it to a few months now plus it's turned That materials science involved must be advanced, given this performance characteristics observed.",0,1.0,5.642857142857143,2,185
Home_and_Kitchen_5,5.0,CG,"As someone who's particularly discerning about quality, as advertised, which becomes apparent when uncomplicated to apply. treasure that colors. also, that dimensions stay That functionality exceeds expectations, with intuitive controls plus responsive performance.",0,0.9090909090909091,6.771428571428571,3,265
Home_and_Kitchen_5,5.0,CG,it is exactly as pictured. I treasure this appear with experience of this pillow. I wish I owned discovered this product sooner - it'd possess saved considerable time plus effort.,0,0.8666666666666667,4.935483870967742,3,179
Home_and_Kitchen_5,5.0,CG,"Fantastic, what I sought!! I adore this appear with perceive of this pillow. This thermal management appears well-designed, maintaining optimal operating temperatures.",0,0.8636363636363636,6.565217391304348,3,167
Home_and_Kitchen_5,5.0,CG,"Supposed to come with extra hardware. This problem is that it's not a vacuum,",0,1.0,4.625,2,77
